Type,Indicator,Description
SHA-256,eb5dd8a36504366702dd33fff4f0cdebf7935f0b8ba518d41cda53090c5c0040,Doc-677734796718.vbs
SHA-256,aa4d510f35a686b54ce2a26ae399ef7e9dccc1846b561fd741cf2469b6a77fb4,ftxqa.dll
Path,C:\ProgramData\ftxqa.dll,Path loader
IP,219.94.242.134,IP C2
IP,107.161.30.122,IP C2
IP,185.25.149.178,IP C2
IP,185.234.52.181,IP C2
SHA-256,00efa04b2c8cbd806300dc2aa9a64e9bb77c2cce4cb6cd4d8f457df70e361b7a,inv_754868.doc
SHA-256,d3d026f833f38db4e9c43dd3b7371c3826e39d16ed6c0dfd69301584c6ac4783,Caff54e1.exe
SHA-256,dd1b008e9cd05d6ba977fda503023a0261399905acb672f2a368a8f0fab164d3,fprl.exe
SHA-256,e9d7e375fd74ad7e69ad0fd7c7414c717cf8f9950b9481f22382ca188344043b,fprl.exe
SHA-256,3c6054b564bc7c113d19d7604baafcd4b23824ecb34f8575e05458b9b1e46063,fprl.exe
PDB,kgvb|fptrn.pdb,PDB Path
Path,C:\DecemberLogs\Caff54e1.exe,Path loader
Domain,owenti.com,Domain requested
IP,8.209.74.196,IP C2
URL,http://owenti.com/fprl.bin,URL delivery
Mutex,DBWinMutex,Mutex process
SHA-256,20537e030016798067a86b3c5294c36339cd43aab90b04ed4d3e9e3c8d342b8c,Klass#591232728993.vbs
SHA-256,aa4d510f35a686b54ce2a26ae399ef7e9dccc1846b561fd741cf2469b6a77fb4,WMhYsrvAW.dll
Path,C:\ProgramData\WMhYsrvAW.dll,Path loader
PDB,c:\few\should\begin\among\be\Once\Kind\Noticeteeth.pdb,PDB Path
IP,185.234.52.181,IP C2
URL,https://185.234.52.181/,URL Requested
URL,http://saitepy.com/glps.exe,URL delivery
Domain,saitepy.com,Domain requested
IP,8.208.9.106,IP delivery
IP,107.161.30.122,IP C2
IP,185.234.52.166,IP C2
IP,185.25.149.178,IP C2
PDB,Bpod|bpRG.pdb,PDB Path
SHA-256,3d0f043627dea5de72eae3fd54dd228dcc4320e8802200dbf21bcbe1cce0bf4a,opxe.exe
SHA-256,cb30247e8a3e90858a3c74f4bc67cec5a1a2e860eb10aff60df2821750e9ee68,inv_757884.xls
SHA-256,f4c01e26eb88b72d38be3d6331fafe03b1ae53fdbff57d610173ed797fa26e73,inv_764672.xls
SHA-256,21647867c1caff9f38834da8d9d862eabb18c4f2dce51940d37818bfdf734fe2,Java Access Bridge for Windows.exe
SHA-256,de598f525584d8048e1549c704653946cf121a1886c7e29d783a0aa78d2d654f,de598f525584d8048e1549c704653946cf121a1886c7e29d783a0aa78d2d654f.xls
Domain,urefere.org,Domain requested
URL,http://urefere.org/opxe.exe,URL delivery
IP,47.254.177.197,IP delivery
IP,185.234.52.170,IP C2
IP,107.152.33.215,IP C2
IP,199.101.86.6,IP C2
IP,188.165.247.187,IP C2
Mutex,IESQMMUTEX_0_208,Mutex process
SHA-256,ecddf1693882dbbea7e7bc30d183ec8b76688395ce21461bd6736335c45c7e19,ecddf1693882dbbea7e7bc30d183ec8b76688395ce21461bd6736335c45c7e19.doc
Domain,artofwork.live,Domain requested
IP,198.54.120.132,IP delivery
