Group,Type,Indicator,Name
KasperAgent,SHA256,80fb33854bf54ceac731aed91c677d8fb933d1593eb95447b06bd9b80f562ed2,80fb33854bf54ceac731aed91c677d8fb933d1593eb95447b06bd9b80f562ed2.sample
KasperAgent,SHA256,d8dc553fbb4569045a298759af75a3a108f82cf883ae986214d3075cc738836e,dttcodexgigas.exe
Kimsuky,SHA256,d70ba9d36526f1aa1b8dbb58a49d974cc5d24cc19b688247a0ff4bbbe74ba358,071d5c44d21c365c13133d46b93a94bc.js
Kimsuky,SHA256,f30e6443b408ea8f1ffb03117a0b9c1469fac1318ae3eccddc2da1db6dfa56f8,071d5c44d21c365c13133d46b93a94bc.js
Kimsuky,SHA256,64fe771edda328fec567e51e0eb3a69fbc9df1621bb83c7d86e1d0c3f5cce6dd,a.txt
Kimsuky,SHA256,4011bb37b49090f525fe8bd643dbd2e9f57f946b4acea335688a24be8930df1f,b.txt
Kimsuky,SHA256,d8dc553fbb4569045a298759af75a3a108f82cf883ae986214d3075cc738836e,pay.exe
Kimsuky,SHA256,80fb33854bf54ceac731aed91c677d8fb933d1593eb95447b06bd9b80f562ed2,integratedoffice.exe
Kimsuky,SHA256,7d48ca8d13970508123e4a47fb0f48546be503089c6f0f9097384d8a8727391f,071d5c44d21c365c13133d46b93a94bc.js
Kimsuky,SHA256,aae346dc3dbdf8736b695d8c90fff0d3093d16978a1b55ae4f1167709ea9bd02,071d5c44d21c365c13133d46b93a94bc.js
Kimsuky,SHA256,70864ce071464d6e650528a038dacf86b05ded61662ccdb51b91d1ca068b5b11,071d5c44d21c365c13133d46b93a94bc.js
